1788556958.275127 server started (14521): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788556958.275150 on Linux 7.1.13-200.fc44.x86_64 #1 SMP PREEMPT_DYNAMIC Wed Sep  2 13:58:38 UTC 2026
1788556958.275167 using libevent 2.1.12-stable poll
1788556958.275174 using ncurses 6.6 20251230
1788556958.275250 input_key_build: 0x200000005 (PasteStart) is \033[200~
1788556958.275257 input_key_build: 0x200000006 (PasteEnd) is \033[201~
1788556958.275264 input_key_build: 0x200000008 (F1) is \033OP
1788556958.275273 input_key_build: 0x200000009 (F2) is \033OQ
1788556958.275280 input_key_build: 0x20000000a (F3) is \033OR
1788556958.275287 input_key_build: 0x20000000b (F4) is \033OS
1788556958.275295 input_key_build: 0x20000000c (F5) is \033[15~
1788556958.275302 input_key_build: 0x20000000d (F6) is \033[17~
1788556958.275311 input_key_build: 0x20000000e (F7) is \033[18~
1788556958.275317 input_key_build: 0x20000000f (F8) is \033[19~
1788556958.275325 input_key_build: 0x200000010 (F9) is \033[20~
1788556958.275332 input_key_build: 0x200000011 (F10) is \033[21~
1788556958.275340 input_key_build: 0x200000012 (F11) is \033[23~
1788556958.275346 input_key_build: 0x200000013 (F12) is \033[24~
1788556958.275353 input_key_build: 0x200000014 (IC) is \033[2~
1788556958.275361 input_key_build: 0x200000015 (DC) is \033[3~
1788556958.275369 input_key_build: 0x200000016 (Home) is \033[1~
1788556958.275376 input_key_build: 0x200000017 (End) is \033[4~
1788556958.275384 input_key_build: 0x200000018 (NPage) is \033[6~
1788556958.275391 input_key_build: 0x200000019 (PPage) is \033[5~
1788556958.275399 input_key_build: 0x20000001a (BTab) is \033[Z
1788556958.275407 input_key_build: 0x20000001b (Up) is \033[A
1788556958.275415 input_key_build: 0x20000001c (Down) is \033[B
1788556958.275422 input_key_build: 0x20000001d (Left) is \033[D
1788556958.275431 input_key_build: 0x20000001e (Right) is \033[C
1788556958.275438 input_key_build: 0x20000001f (KP/) is /
1788556958.275446 input_key_build: 0x200000020 (KP*) is *
1788556958.275454 input_key_build: 0x200000021 (KP-) is -
1788556958.275462 input_key_build: 0x200000022 (KP7) is 7
1788556958.275470 input_key_build: 0x200000023 (KP8) is 8
1788556958.275477 input_key_build: 0x200000024 (KP9) is 9
1788556958.275484 input_key_build: 0x200000025 (KP+) is +
1788556958.275491 input_key_build: 0x200000026 (KP4) is 4
1788556958.275498 input_key_build: 0x200000027 (KP5) is 5
1788556958.275504 input_key_build: 0x200000028 (KP6) is 6
1788556958.275510 input_key_build: 0x200000029 (KP1) is 1
1788556958.275517 input_key_build: 0x20000002a (KP2) is 2
1788556958.275524 input_key_build: 0x20000002b (KP3) is 3
1788556958.275532 input_key_build: 0x20000002c (KPEnter) is \n
1788556958.275539 input_key_build: 0x20000002d (KP0) is 0
1788556958.275546 input_key_build: 0x20000002e (KP.) is .
1788556958.275553 input_key_build: 0x200200000008 (C-F1) is \033[1;5P
1788556958.275560 input_key_build: 0x200200000009 (C-F2) is \033[1;5Q
